모델,Pinball↓,CRPS_근사↓,Coverage@90,IntervalWidth↓,MAE↓,RMSE↓
Baseline 0 (전체 평균),1104.431671201106,2208.863342402212,0.9341242585076491,18799.99999999999,3375.28681444479,6536.696978059658
Baseline 1 (동별 중앙값 분포),947.6188233896872,1895.2376467793745,0.9298574253304194,15005.963115812558,3124.1728103177675,5498.168020579763
Baseline 2 (동×면적구간별 분포),851.479140194369,1702.958280388738,0.9280882505983974,13291.593473612573,2902.2135008482687,5067.6237593345895
Baseline 3 (현재 A모듈: 지역 KDE),712.5568847059685,1425.113769411937,0.9440108231865959,11163.792639567626,2195.899220269729,4340.600165895318
